                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.4056,                 1.0678,                 1.2432,                0.79986,                0.70549,                0.78999,                0.47809,                 1.3608,                 1.0779,                 1.2955,              0.0018911,              0.0018911,              0.0018911
                     57,                 1.4115,                 1.0989,                  1.258,                0.84578,                0.67715,                0.78785,                0.50305,                 1.3094,                 1.0546,                   1.27,              0.0018891,              0.0018891,              0.0018891
                     58,                 1.3754,                 1.0741,                 1.2378,                0.86414,                0.72011,                0.82064,                 0.5243,                  1.263,                 0.9841,                 1.2512,              0.0018871,              0.0018871,              0.0018871
                     59,                 1.3896,                 1.0814,                 1.2451,                0.82093,                0.72896,                0.81327,                0.50935,                  1.286,                 1.0118,                 1.2673,              0.0018852,              0.0018852,              0.0018852
                     60,                 1.3976,                 1.0547,                 1.2302,                0.83084,                   0.72,                0.81654,                0.51354,                 1.2994,                 1.0306,                 1.2629,              0.0018832,              0.0018832,              0.0018832
                     61,                  1.382,                 1.0542,                 1.2259,                0.84222,                0.71878,                0.81685,                0.51281,                 1.2764,                 1.0429,                 1.2534,              0.0018812,              0.0018812,              0.0018812
                     62,                 1.3881,                 1.0632,                 1.2277,                0.82142,                0.71302,                0.80374,                0.50462,                 1.2741,                 1.0257,                 1.2578,              0.0018792,              0.0018792,              0.0018792
                     63,                 1.3955,                 1.0579,                 1.2306,                0.82563,                0.73395,                0.81327,                0.50957,                 1.2704,                 1.0542,                 1.2426,              0.0018772,              0.0018772,              0.0018772
                     64,                 1.3667,                 1.0447,                 1.2379,                0.84051,                0.72896,                0.82476,                0.51366,                 1.3166,                0.97961,                 1.2588,              0.0018753,              0.0018753,              0.0018753
                     65,                 1.3884,                 1.0593,                 1.2401,                0.82546,                0.73118,                0.82385,                0.51959,                 1.2411,                 1.0233,                 1.2297,              0.0018733,              0.0018733,              0.0018733
                     66,                 1.3464,                 1.0288,                 1.2181,                0.86271,                0.71125,                0.82153,                0.52247,                 1.2664,                0.98963,                 1.2409,              0.0018713,              0.0018713,              0.0018713
                     67,                 1.3274,                0.99434,                 1.2094,                0.85182,                0.75244,                0.84183,                0.54406,                 1.2303,                  0.939,                 1.2256,              0.0018693,              0.0018693,              0.0018693
                     68,                 1.3468,                 1.0079,                 1.1956,                0.83886,                0.75288,                0.83028,                0.53514,                 1.2394,                0.96096,                 1.2294,              0.0018673,              0.0018673,              0.0018673
