                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 0.9729,                0.61792,                 1.5346,                0.98074,                 0.9749,                0.98783,                0.82852,                 0.6706,                0.36621,                 1.1999,              0.0093862,              0.0093862,              0.0093862
                     95,                 0.9389,                 0.5847,                 1.4387,                0.98358,                0.98868,                0.98693,                0.83444,                0.66329,                 0.3474,                 1.1874,              0.0093796,              0.0093796,              0.0093796
                     96,                0.92457,                0.59719,                 1.4412,                0.98609,                0.99029,                0.98865,                0.84124,                0.65378,                0.33847,                 1.1799,               0.009373,               0.009373,               0.009373
                     97,                0.91643,                0.58374,                 1.4313,                0.98707,                0.98781,                0.98892,                 0.8431,                0.64594,                0.33116,                 1.1699,              0.0093664,              0.0093664,              0.0093664
                     98,                0.94668,                0.58008,                 1.4513,                0.98506,                0.99115,                0.98965,                0.81931,                0.72696,                0.36552,                 1.2427,              0.0093598,              0.0093598,              0.0093598
                     99,                0.93637,                0.58788,                 1.4704,                0.98227,                0.98443,                 0.9884,                0.83767,                0.65526,                0.33842,                 1.1927,              0.0093532,              0.0093532,              0.0093532
                    100,                0.91553,                0.56936,                 1.4451,                0.97885,                0.98341,                0.98561,                0.83191,                0.65563,                0.34582,                 1.1894,              0.0093466,              0.0093466,              0.0093466
                    101,                0.91914,                0.57967,                 1.4489,                0.98869,                0.98939,                0.98872,                0.84043,                0.64205,                0.33606,                 1.1736,                0.00934,                0.00934,                0.00934
                    102,                0.92826,                 0.5791,                 1.4341,                0.97747,                0.98232,                0.98648,                0.83882,                 0.6356,                0.34004,                 1.1693,              0.0093334,              0.0093334,              0.0093334
                    103,                0.89893,                0.55976,                 1.4133,                0.98393,                0.98501,                0.98827,                0.83535,                0.65667,                0.33863,                   1.18,              0.0093268,              0.0093268,              0.0093268
